Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
XGBoost,0.9897419476192182,0.05603822762814944,0.5233265720081136,0.10123602118893467,0.9713867545884035,0.2252634619198013
Random Forest,0.9806102432732614,0.036022727272727276,0.6430020283975659,0.06822339395243732,0.9665171235222376,0.10755064603504744
Decision Tree,0.9736461430977034,0.02526103065005052,0.6085192697768763,0.04850836769342712,0.797631148778064,0.017315365065484645
