Model,ROC_AUC
XGBoost,0.9704140620116453
Random Forest,0.9634045559309065
Neural Network,0.9285955520725346
Logistic Regression,0.9248731938337692
SVM,0.9248070058038073
Decision Tree,0.7586107928258777
