Model,PR_AUC
XGBoost,0.2326486332594944
Random Forest,0.08728518245737378
Logistic Regression,0.03601904390361029
SVM,0.03572182273437277
Neural Network,0.016719680030287405
Decision Tree,0.014540507889247916
